Tracer: (5) 18F-			Batch no: 934			Date: 2021-10-29
Site name: Fleni

Time	Arc-I	Arc-V	Gas flow	Dee-1-kV	Dee-2-kV	Magnet-I	Foil-I	Coll-l-I	Target-I	Coll-r-I	Vacuum-P	Target-P	Delta Dee-kV	Phase load	Dee ref-V	Probe-I	He cool-P	Flap1-pos	Flap2-pos	Step pos	Extr pos	Balance	RF fwd-W	RF refl-W	Foil No
04:16:31 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	2.6E-07	70.8	0.0	12.3	35.5	0.0	45.0	40.4	30.2	0.0	49.7	50.3	0.0	0.0	2
04:16:34 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	2.6E-07	71.2	0.0	12.2	35.5	0.0	45.0	40.3	30.2	0.0	49.7	50.3	0.0	0.0	2
04:16:37 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	2.6E-07	71.2	0.0	12.1	35.5	0.0	45.0	40.3	30.2	0.0	49.7	50.3	0.0	0.0	2
04:16:40 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	2.6E-07	71.2	0.0	12.3	35.5	0.0	45.0	40.4	30.2	0.0	49.7	50.3	0.0	0.0	2
04:16:43 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	2.6E-07	71.2	0.0	12.2	35.5	0.0	45.0	40.4	30.2	0.0	49.7	50.2	0.0	0.0	2
04:16:46 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	2.6E-07	71.2	0.0	12.3	35.5	0.0	45.0	40.4	30.2	0.0	49.7	50.3	0.0	0.0	2
04:16:49 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	2.6E-07	71.2	0.0	12.2	35.5	0.0	44.2	40.4	30.2	0.0	49.7	50.3	0.0	0.0	2
04:16:52 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	2.6E-07	71.2	0.0	12.2	35.5	0.0	44.1	40.3	30.2	0.0	49.7	50.2	0.0	0.0	2
04:16:55 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	2.5E-07	71.2	0.0	12.1	35.5	0.0	45.0	40.3	30.2	0.0	49.7	50.3	0.0	0.0	2
04:16:58 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	2.6E-07	71.2	0.0	12.2	35.5	0.0	45.0	40.4	30.1	0.0	49.7	50.3	0.0	0.0	2
04:17:01 	0	0	-0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	2.6E-07	71.2	0.0	12.1	35.5	0.0	45.0	40.4	30.2	0.0	49.7	50.3	0.0	0.0	2
