Tracer: (4) 11C-CO2aux			Batch no: 937			Date: 2021-10-29
Site name: Fleni

Time	Arc-I	Arc-V	Gas flow	Dee-1-kV	Dee-2-kV	Magnet-I	Foil-I	Coll-l-I	Target-I	Coll-r-I	Vacuum-P	Target-P	Delta Dee-kV	Phase load	Dee ref-V	Probe-I	He cool-P	Flap1-pos	Flap2-pos	Step pos	Extr pos	Balance	RF fwd-W	RF refl-W	Foil No
07:19:45 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	2.2E-07	186.5	0.0	12.2	35.5	0.0	37.0	40.3	30.5	0.0	50.6	50.3	0.0	0.0	2
07:19:48 	0	0	-0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	2.2E-07	187.0	0.0	12.1	35.5	0.0	37.0	40.3	30.4	0.0	50.6	50.3	0.0	0.0	2
07:19:51 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	2.2E-07	187.0	0.0	12.2	35.5	0.0	37.0	40.4	30.5	0.0	50.6	50.3	0.0	0.0	2
07:19:55 	0	0	-0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	2.2E-07	187.0	0.0	12.1	35.5	0.0	37.0	40.3	30.4	0.0	50.6	50.3	0.0	0.0	2
07:19:58 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	2.2E-07	187.0	0.0	12.1	35.5	0.0	37.0	40.3	30.5	0.0	50.6	50.3	0.0	0.0	2
07:20:01 	0	0	-0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	2.2E-07	186.5	0.0	12.2	35.5	0.0	45.0	40.4	30.5	0.0	50.6	50.3	0.0	0.0	2
07:20:04 	0	0	-0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	2.3E-07	186.0	0.0	12.2	35.5	0.0	44.0	40.3	30.4	0.0	50.6	50.3	0.0	0.0	2
07:20:07 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	2.7E-06	185.0	0.0	12.2	35.5	0.0	50.0	40.4	30.4	0.0	50.6	50.3	0.0	0.0	2
07:20:10 	0	0	-0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	1.5E-06	184.0	0.0	12.3	35.5	0.0	49.0	40.3	30.4	0.0	50.6	50.3	0.0	0.0	2
07:20:13 	0	0	-0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	1.1E-06	183.1	0.0	12.2	35.5	0.0	52.0	40.4	30.5	0.0	50.6	50.3	0.0	0.0	2
07:20:16 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	9.5E-07	182.1	0.0	12.3	35.5	0.0	50.0	40.3	30.5	0.0	50.6	50.3	0.0	0.0	2
07:20:19 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	8.7E-07	181.6	0.0	12.2	35.5	0.0	50.0	40.3	30.4	0.0	50.6	50.3	0.0	0.0	2
07:20:22 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	8.0E-07	181.6	0.0	12.2	35.5	0.0	50.7	40.3	30.5	0.0	50.6	50.3	0.0	0.0	2
07:20:25 	0	0	-0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	7.4E-07	181.1	0.0	12.2	35.5	0.0	49.5	40.3	30.4	0.0	45.3	50.3	0.0	0.0	2
07:20:28 	0	0	-0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	6.7E-07	181.1	0.0	12.0	35.5	0.0	51.0	40.4	30.5	0.0	40.7	50.3	0.0	0.0	2
07:20:31 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	5.9E-07	181.1	0.0	12.2	35.5	0.0	50.0	40.3	30.5	0.0	33.4	50.3	0.0	0.0	2
07:20:34 	0	0	-0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	5.5E-07	181.1	0.0	12.2	35.5	0.0	50.2	40.3	30.4	0.0	29.1	50.3	0.0	0.0	2
07:20:38 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	5.3E-07	181.1	0.0	12.3	35.5	0.0	51.0	40.3	30.5	0.0	25.0	50.3	0.0	0.0	2
07:20:41 	0	0	-0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	5.0E-07	181.1	0.0	12.2	35.5	0.0	50.1	40.4	30.5	0.0	21.2	50.3	0.0	0.0	2
07:20:44 	0	0	1.2	0.0	0.0	427.5	0.0	0.0	0.0	0.0	9.2E-07	180.6	0.0	32.8	35.5	0.0	51.0	40.4	31.3	0.0	21.0	50.3	1.4	1.4	2
07:20:47 	0	0	0.5	0.0	0.2	427.5	0.0	0.0	0.0	0.0	4.5E-06	180.6	0.2	7.1	35.5	0.0	50.0	54.3	44.9	0.0	20.9	50.3	1.5	1.4	2
07:20:50 	0	0	3.8	1.4	1.9	427.5	0.0	0.0	0.0	0.0	7.5E-06	180.6	0.5	30.3	35.5	0.0	49.0	36.1	32.5	0.0	21.0	50.2	1.7	1.3	2
07:20:53 	0	0	3.9	35.3	38.8	427.5	0.0	0.0	0.0	0.0	1.2E-05	180.1	3.5	2.8	35.5	0.0	47.7	35.4	24.0	0.0	21.0	50.3	11.0	0.0	2
07:20:56 	47	1146	3.9	35.4	39.0	427.5	0.0	0.0	0.0	0.0	7.3E-06	180.6	3.6	4.7	35.5	7.1	46.7	36.2	24.2	0.0	20.9	50.3	10.6	0.0	2
07:20:59 	76	1202	3.9	35.5	38.7	427.5	0.0	0.0	0.0	0.0	1.3E-05	181.1	3.2	4.9	35.5	14.3	48.2	36.1	32.9	0.0	21.0	50.3	10.4	0.0	2
07:21:02 	82	1187	3.9	35.3	39.2	427.5	0.0	0.0	0.0	0.0	1.3E-05	180.6	3.9	6.5	35.5	14.8	48.0	36.0	33.3	0.0	21.0	50.3	10.4	0.0	2
07:21:05 	88	1035	3.9	35.4	38.7	427.5	0.0	0.0	0.0	0.0	1.3E-05	181.1	3.3	4.8	35.5	14.6	46.0	34.4	24.4	0.0	21.0	50.3	10.4	0.0	2
07:21:08 	91	982	3.9	35.4	39.3	427.5	10.0	0.1	8.5	1.2	1.3E-05	192.3	3.9	6.1	35.5	0.1	48.0	37.5	33.4	0.0	20.9	50.3	10.6	0.0	2
