Tracer: (4) 11C-CO2aux			Batch no: 940			Date: 2021-11- 1
Site name: Fleni

Time	Arc-I	Arc-V	Gas flow	Dee-1-kV	Dee-2-kV	Magnet-I	Foil-I	Coll-l-I	Target-I	Coll-r-I	Vacuum-P	Target-P	Delta Dee-kV	Phase load	Dee ref-V	Probe-I	He cool-P	Flap1-pos	Flap2-pos	Step pos	Extr pos	Balance	RF fwd-W	RF refl-W	Foil No
06:21:42 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	2.2E-07	186.5	0.0	12.2	35.5	0.0	33.0	40.2	30.1	0.0	45.4	50.2	0.0	0.0	2
06:21:45 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	2.2E-07	187.0	0.0	12.2	35.5	0.0	33.0	40.2	30.1	0.0	45.6	50.2	0.0	0.0	2
06:21:48 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	2.2E-07	186.5	0.0	12.1	35.5	0.0	33.0	40.2	30.1	0.0	45.4	50.2	0.0	0.0	2
06:21:51 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	2.2E-07	187.0	0.0	12.2	35.5	0.0	33.0	40.2	30.1	0.0	47.0	50.2	0.0	0.0	2
06:21:54 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	2.2E-07	186.5	0.0	12.2	35.5	0.0	33.0	40.2	30.0	0.0	45.4	50.2	0.0	0.0	2
06:21:57 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	2.2E-07	186.5	0.0	12.1	35.5	0.0	42.0	40.2	30.1	0.0	45.3	50.3	0.0	0.0	2
06:22:00 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	2.2E-07	186.0	0.0	12.2	35.5	0.0	44.0	40.0	30.1	0.0	47.0	50.3	0.0	0.0	2
06:22:03 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	3.5E-06	185.0	0.0	12.1	35.5	0.0	49.7	40.2	30.1	0.0	46.9	50.3	0.0	0.0	2
06:22:06 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	1.8E-06	183.5	0.0	12.2	35.5	0.0	50.0	40.2	30.1	0.0	46.4	50.2	0.0	0.0	2
06:22:09 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	1.3E-06	182.6	0.0	12.3	35.5	0.0	49.0	40.2	30.1	0.0	47.3	50.2	0.0	0.0	2
06:22:13 	0	0	-0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	1.0E-06	182.6	0.0	12.1	35.5	0.0	51.0	40.2	30.1	0.0	47.3	50.2	0.0	0.0	2
06:22:16 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	9.4E-07	181.6	0.0	12.2	35.5	0.0	49.0	40.2	30.1	0.0	47.2	50.2	0.0	0.0	2
06:22:19 	0	0	-0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	8.7E-07	182.1	0.0	12.3	35.5	0.0	50.0	40.2	30.1	0.0	47.1	50.2	0.0	0.0	2
06:22:22 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	8.0E-07	181.6	0.0	12.2	35.5	0.0	50.0	40.2	30.1	0.0	46.9	50.2	0.0	0.0	2
06:22:25 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	7.5E-07	181.1	0.0	12.2	35.5	0.0	49.0	40.2	30.1	0.0	46.7	50.3	0.0	0.0	2
06:22:28 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	6.9E-07	181.6	0.0	12.1	35.5	0.0	50.6	40.2	30.1	0.0	39.4	50.3	0.0	0.0	2
06:22:31 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	6.3E-07	181.6	0.0	12.2	35.5	0.0	48.7	40.2	30.1	0.0	32.3	50.3	0.0	0.0	2
06:22:34 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	5.7E-07	181.1	0.0	12.2	35.5	0.0	50.2	40.2	30.1	0.0	28.2	50.2	0.0	0.0	2
06:22:37 	0	0	0.0	0.0	0.0	427.5	0.0	0.0	0.0	0.0	5.4E-07	180.6	0.0	12.2	35.5	0.0	49.5	40.2	30.1	0.0	24.1	50.3	0.0	0.0	2
06:22:40 	0	0	8.4	0.0	0.0	427.5	0.0	0.0	0.0	0.0	5.2E-07	181.6	0.0	12.2	35.5	0.0	49.3	40.2	30.0	0.0	23.1	50.3	0.0	0.0	2
06:22:43 	0	0	3.4	0.0	0.0	427.5	0.0	0.0	0.0	0.0	2.7E-06	180.6	0.0	7.6	35.5	0.0	49.7	50.9	42.4	0.0	23.1	50.3	1.5	1.4	2
06:22:46 	0	0	3.5	0.0	0.2	427.5	0.0	0.0	0.0	0.0	5.4E-06	181.1	0.2	29.2	35.5	0.0	50.0	43.2	31.8	0.0	23.1	50.3	1.5	1.4	2
06:22:49 	0	0	3.9	35.3	39.0	427.5	0.0	0.0	0.0	0.0	1.1E-05	180.6	3.7	9.4	35.5	0.0	47.1	33.9	24.0	0.0	23.1	50.3	10.5	0.1	2
06:22:53 	48	1180	3.9	35.3	38.4	427.5	0.0	0.0	0.0	0.0	1.2E-05	180.6	3.1	-0.6	35.5	7.9	48.0	36.1	33.3	0.0	23.1	50.3	11.1	0.1	2
06:22:56 	73	1201	3.9	35.4	39.0	427.5	0.0	0.0	0.0	0.0	1.3E-05	181.1	3.6	9.2	35.5	16.6	47.1	34.4	28.9	0.0	23.1	50.3	10.2	0.1	2
06:22:59 	74	1211	3.9	35.5	38.6	427.5	0.0	0.0	0.0	0.0	1.3E-05	181.1	3.2	-3.4	35.5	14.5	48.0	35.6	23.4	0.0	23.1	50.2	11.7	0.3	2
06:23:02 	78	1119	3.9	35.4	39.1	427.5	0.0	0.0	0.0	0.0	1.3E-05	180.6	3.8	9.7	35.5	14.6	48.2	35.3	33.0	0.0	23.1	50.2	10.1	0.1	2
06:23:05 	81	1041	3.9	35.4	38.7	427.5	0.0	0.0	0.0	0.0	1.3E-05	180.6	3.3	3.0	35.5	14.6	48.3	36.5	33.0	0.0	23.1	50.3	10.6	0.0	2
06:23:08 	80	1026	4.0	35.3	38.8	427.5	10.9	0.0	3.2	7.7	1.3E-05	188.9	3.5	5.8	35.5	0.0	48.0	36.7	33.2	0.0	23.1	50.2	10.4	0.0	2
06:23:11 	81	1022	4.0	35.4	38.8	427.5	10.6	0.5	9.2	0.8	1.3E-05	229.9	3.5	0.8	35.5	0.1	48.0	36.2	33.2	0.0	20.7	50.3	11.1	0.1	2
06:23:14 	81	1016	4.0	35.4	38.8	425.5	1.9	0.0	1.7	0.1	1.2E-05	206.5	3.4	4.3	35.5	0.0	47.8	34.3	24.7	0.0	20.7	50.2	10.4	0.0	2
06:23:17 	81	1013	4.0	35.4	39.1	425.0	7.5	0.1	6.9	0.4	1.2E-05	218.7	3.7	6.3	35.5	0.0	47.5	37.5	33.6	0.0	20.7	50.3	10.5	0.0	2
06:23:20 	81	1010	4.0	35.4	38.7	425.5	0.0	0.0	0.0	0.0	1.2E-05	188.4	3.3	4.8	35.5	0.0	46.3	34.6	24.8	0.0	20.6	50.3	10.3	0.0	2
06:23:24 	81	1009	4.0	35.4	39.1	426.0	1.8	0.0	1.7	0.1	1.2E-05	190.4	3.7	4.7	35.5	0.0	48.7	37.7	33.4	0.0	20.7	50.3	10.6	0.0	2
06:23:27 	80	1007	4.0	35.4	38.6	426.5	5.4	0.1	5.0	0.2	1.2E-05	206.0	3.2	3.8	35.5	0.0	47.6	34.4	24.7	0.0	20.7	50.3	10.5	0.0	2
06:23:30 	81	1007	4.0	35.4	39.0	427.0	9.8	0.1	8.0	1.4	1.2E-05	222.1	3.6	3.7	35.5	0.0	47.1	37.3	33.3	0.0	20.7	50.3	10.7	0.0	2
06:23:33 	80	1006	4.0	35.4	39.0	427.5	9.9	0.5	8.8	0.4	1.2E-05	234.3	3.6	2.8	35.5	0.0	48.2	37.3	31.3	0.0	20.7	50.2	10.9	0.0	2
06:23:36 	80	1006	4.0	35.4	38.9	428.0	10.1	0.3	8.1	1.5	1.2E-05	230.9	3.5	2.8	35.5	0.0	47.5	35.6	33.2	0.0	20.7	50.3	10.8	0.0	2
