Tracer: (5) 18F-			Batch no: 946			Date: 2021-11- 3
Site name: Fleni

Time	Arc-I	Arc-V	Gas flow	Dee-1-kV	Dee-2-kV	Magnet-I	Foil-I	Coll-l-I	Target-I	Coll-r-I	Vacuum-P	Target-P	Delta Dee-kV	Phase load	Dee ref-V	Probe-I	He cool-P	Flap1-pos	Flap2-pos	Step pos	Extr pos	Balance	RF fwd-W	RF refl-W	Foil No
08:27:51 	0	0	-0.0	0.0	0.0	429.4	0.0	0.0	0.0	0.0	5.3E-07	71.2	0.0	12.2	35.5	0.0	39.0	39.9	29.6	0.0	51.2	50.3	0.0	0.0	2
08:27:54 	0	0	-0.0	0.0	0.0	429.4	0.0	0.0	0.0	0.0	5.3E-07	71.2	0.0	12.2	35.5	0.0	39.0	39.9	29.5	0.0	51.2	50.3	0.0	0.0	2
08:27:57 	0	0	-0.0	0.0	0.0	429.4	0.0	0.0	0.0	0.0	5.3E-07	73.2	0.0	12.2	35.5	0.0	39.0	39.9	29.6	0.0	51.2	50.3	0.0	0.0	2
08:28:00 	0	0	-0.0	0.0	0.0	429.4	0.0	0.0	0.0	0.0	5.3E-07	72.7	0.0	12.3	35.5	0.0	39.0	39.9	29.6	0.0	51.2	50.3	0.0	0.0	2
08:28:03 	0	0	-0.0	0.0	0.0	429.4	0.0	0.0	0.0	0.0	5.3E-07	73.2	0.0	12.1	35.5	0.0	39.0	39.9	29.5	0.0	51.2	50.3	0.0	0.0	2
08:28:06 	0	0	-0.0	0.0	0.0	429.4	0.0	0.0	0.0	0.0	5.2E-07	73.2	0.0	12.1	35.5	0.0	39.0	39.9	29.6	0.0	51.2	50.3	0.0	0.0	2
08:28:09 	0	0	-0.0	0.0	0.0	429.4	0.0	0.0	0.0	0.0	5.2E-07	72.7	0.0	12.1	35.5	0.0	39.0	39.9	29.5	0.0	51.2	50.3	0.0	0.0	2
08:28:12 	0	0	-0.0	0.0	0.0	429.4	0.0	0.0	0.0	0.0	5.2E-07	72.7	0.0	12.3	35.5	0.0	38.2	39.9	29.6	0.0	51.2	50.3	0.0	0.0	2
08:28:15 	0	0	-0.0	0.0	0.0	429.4	0.0	0.0	0.0	0.0	5.2E-07	73.2	0.0	12.2	35.5	0.0	38.3	39.9	29.6	0.0	51.2	50.3	0.0	0.0	2
08:28:18 	0	0	-0.0	0.0	0.0	429.4	0.0	0.0	0.0	0.0	5.2E-07	72.7	0.0	12.2	35.5	0.0	39.0	39.9	29.6	0.0	51.2	50.3	0.0	0.0	2
08:28:21 	0	0	-0.0	0.0	0.0	429.4	0.0	0.0	0.0	0.0	5.2E-07	73.2	0.0	12.2	35.5	0.0	38.5	39.9	29.6	0.0	51.2	50.3	0.0	0.0	2
08:28:24 	0	0	-0.0	0.0	0.0	429.4	0.0	0.0	0.0	0.0	5.2E-07	73.2	0.0	12.2	35.5	0.0	38.6	39.9	29.6	0.0	51.2	50.3	0.0	0.0	2
08:28:27 	0	0	-0.0	0.0	0.0	429.4	0.0	0.0	0.0	0.0	5.2E-07	73.2	0.0	12.2	35.5	0.0	38.2	39.9	29.6	0.0	51.2	50.3	0.0	0.0	2
08:28:31 	0	0	-0.0	0.0	0.0	429.4	0.0	0.0	0.0	0.0	5.2E-07	73.2	0.0	12.2	35.5	0.0	38.8	39.9	29.7	0.0	51.2	50.2	0.0	0.0	2
08:28:34 	0	0	-0.0	0.0	0.0	429.4	0.0	0.0	0.0	0.0	5.1E-07	73.2	0.0	12.2	35.5	0.0	39.0	39.9	29.6	0.0	51.2	50.3	0.0	0.0	2
08:28:37 	0	0	-0.0	0.0	0.0	429.4	0.0	0.0	0.0	0.0	5.1E-07	73.2	0.0	12.3	35.5	0.0	38.0	39.9	29.6	0.0	51.2	50.3	0.0	0.0	2
08:28:40 	0	0	-0.0	0.0	0.0	429.4	0.0	0.0	0.0	0.0	5.1E-07	73.2	0.0	12.3	35.5	0.0	38.0	39.9	29.6	0.0	51.2	50.3	0.0	0.0	2
08:28:43 	0	0	-0.0	0.0	0.0	429.4	0.0	0.0	0.0	0.0	5.1E-07	73.2	0.0	12.2	35.5	0.0	38.0	39.9	29.6	0.0	51.2	50.3	0.0	0.0	2
08:28:46 	0	0	-0.0	0.0	0.0	429.4	0.0	0.0	0.0	0.0	5.1E-07	73.7	0.0	12.3	35.5	0.0	38.0	39.9	29.6	0.0	51.2	50.3	0.0	0.0	2
08:28:49 	0	0	-0.0	0.0	0.0	429.4	0.0	0.0	0.0	0.0	5.1E-07	73.2	0.0	12.2	35.5	0.0	39.0	39.9	29.5	0.0	51.2	50.3	0.0	0.0	2
08:28:52 	0	0	-0.0	0.0	0.0	429.4	0.0	0.0	0.0	0.0	5.1E-07	73.2	0.0	12.3	35.5	0.0	38.0	39.9	29.6	0.0	51.2	50.3	0.0	0.0	2
08:28:55 	0	0	-0.0	0.0	0.0	429.4	0.0	0.0	0.0	0.0	5.0E-07	73.2	0.0	12.1	35.5	0.0	38.0	39.9	29.6	0.0	51.2	50.3	0.0	0.0	2
08:28:58 	0	0	-0.0	0.0	0.0	429.4	0.0	0.0	0.0	0.0	5.0E-07	73.2	0.0	12.1	35.5	0.0	38.0	39.9	29.6	0.0	51.2	50.3	0.0	0.0	2
08:29:01 	0	0	-0.0	0.0	0.0	429.4	0.0	0.0	0.0	0.0	5.0E-07	73.7	0.0	12.2	35.5	0.0	38.0	39.9	29.6	0.0	51.2	50.3	0.0	0.0	2
08:29:04 	0	0	-0.0	0.0	0.0	429.4	0.0	0.0	0.0	0.0	5.0E-07	73.2	0.0	12.3	35.5	0.0	38.0	39.9	29.5	0.0	51.2	50.3	0.0	0.0	2
08:29:07 	0	0	-0.0	0.0	0.0	429.4	0.0	0.0	0.0	0.0	5.0E-07	73.2	0.0	12.3	35.5	0.0	38.3	39.9	29.5	0.0	51.2	50.3	0.0	0.0	2
08:29:11 	0	0	-0.0	0.0	0.0	429.4	0.0	0.0	0.0	0.0	5.0E-07	73.7	0.0	12.2	35.5	0.0	38.0	39.9	29.6	0.0	51.2	50.3	0.0	0.0	2
08:29:14 	0	0	-0.0	0.0	0.0	429.4	0.0	0.0	0.0	0.0	5.0E-07	73.2	0.0	12.2	35.5	0.0	38.0	39.9	29.5	0.0	51.2	50.3	0.0	0.0	2
08:29:17 	0	0	-0.0	0.0	0.0	429.4	0.0	0.0	0.0	0.0	4.9E-07	73.2	0.0	12.2	35.5	0.0	38.0	39.9	29.6	0.0	51.2	50.3	0.0	0.0	2
